qty,sex,hiv,15-24,25-34,35-44,45-54,55-64,65+,total
incidence,F,HIV-negative,"7,420","7,040","6,070","5,130","4,340","3,890","33,900"
incidence,F,HIV-positive,"1,830","2,290","2,040","1,400","1,080",902,"9,540"
incidence,F,total,"9,250","9,330","8,110","6,520","5,420","4,790","43,400"
incidence,M,HIV-negative,"7,680","8,830","9,160","9,070","7,420","6,100","48,300"
incidence,M,HIV-positive,"2,060","2,910","3,090","2,260","1,610","1,130","13,100"
incidence,M,total,"9,740","11,700","12,200","11,300","9,030","7,230","61,300"
incidence,total,HIV-negative,"15,100","15,900","15,200","14,200","11,800","9,990","82,200"
incidence,total,HIV-positive,"3,880","5,200","5,130","3,660","2,700","2,030","22,600"
incidence,total,total,"19,000","21,100","20,400","17,900","14,500","12,000","105,000"
deaths,F,HIV-negative,"2,000","2,200","2,210","2,140","1,850","2,240","12,600"
deaths,F,HIV-positive,912,"1,230","1,180",898,854,845,"5,920"
deaths,F,total,"2,910","3,430","3,390","3,040","2,710","3,080","18,600"
deaths,M,HIV-negative,"2,800","3,410","3,740","4,220","3,200","3,480","20,900"
deaths,M,HIV-positive,"1,310","1,830","1,960","1,580","1,360","1,130","9,170"
deaths,M,total,"4,120","5,240","5,700","5,800","4,570","4,600","30,000"
deaths,total,HIV-negative,"4,800","5,620","5,950","6,360","5,050","5,720","33,500"
deaths,total,HIV-positive,"2,220","3,050","3,140","2,480","2,220","1,970","15,100"
deaths,total,total,"7,030","8,670","9,090","8,840","7,270","7,690","48,600"
