qty,sex,hiv,15-24,25-34,35-44,45-54,55-64,65+,total
incidence,F,HIV-negative,"11,900 (2,210 - 21,700)","11,000 (3,780 - 18,200)","10,800 (5,010 - 16,600)","8,980 (4,560 - 13,400)","7,460 (3,810 - 11,100)","9,070 (5,580 - 12,600)","59,200 (24,900 - 93,500)"
incidence,F,HIV-positive,"3,730 (0 - 14,200)","5,370 (0 - 14,000)","4,450 (0 - 10,400)","2,770 (0 - 7,690)","2,250 (0 - 6,410)","1,910 (0 - 6,070)","20,500 (0 - 58,700)"
incidence,F,total,"15,700 (1,360 - 30,000)","16,300 (5,130 - 27,600)","15,300 (6,970 - 23,500)","11,700 (5,130 - 18,400)","9,710 (4,180 - 15,200)","11,000 (5,550 - 16,400)","79,700 (28,300 - 131,000)"
incidence,M,HIV-negative,"15,400 (5,630 - 25,200)","16,800 (7,420 - 26,100)","19,700 (8,660 - 30,600)","19,100 (8,770 - 29,400)","14,700 (5,790 - 23,600)","16,200 (8,370 - 24,100)","102,000 (44,600 - 159,000)"
incidence,M,HIV-positive,"4,790 (0 - 16,500)","7,500 (0 - 19,800)","6,980 (0 - 18,800)","4,420 (0 - 16,600)","3,230 (0 - 14,200)","2,160 (0 - 12,600)","29,100 (0 - 98,500)"
incidence,M,total,"20,200 (4,980 - 35,500)","24,300 (8,840 - 39,700)","26,600 (10,400 - 42,800)","23,500 (7,520 - 39,500)","17,900 (3,800 - 32,100)","18,400 (5,330 - 31,500)","131,000 (40,900 - 221,000)"
incidence,total,HIV-negative,"27,400 (7,840 - 46,900)","27,700 (11,200 - 44,300)","30,500 (13,700 - 47,200)","28,100 (13,300 - 42,800)","22,200 (9,600 - 34,700)","25,300 (13,900 - 36,700)","161,000 (69,600 - 253,000)"
incidence,total,HIV-positive,"8,520 (0 - 30,700)","12,900 (0 - 33,700)","11,400 (0 - 29,200)","7,190 (0 - 24,300)","5,480 (0 - 20,600)","4,070 (0 - 18,700)","49,600 (0 - 157,000)"
incidence,total,total,"35,900 (6,340 - 65,400)","40,600 (14,000 - 67,300)","41,900 (17,400 - 66,300)","35,300 (12,600 - 57,900)","27,600 (7,980 - 47,300)","29,400 (10,900 - 47,900)","211,000 (69,200 - 352,000)"
deaths,F,HIV-negative,"4,700 (0 - 14,300)","4,740 (0 - 11,800)","5,260 (0 - 11,000)","4,720 (350 - 9,090)","3,920 (316 - 7,520)","5,970 (2,520 - 9,430)","29,300 (0 - 63,200)"
deaths,F,HIV-positive,"2,460 (0 - 7,070)","3,770 (0 - 8,830)","3,250 (0 - 6,950)","2,070 (0 - 4,910)","2,080 (0 - 5,550)","1,910 (0 - 6,070)","15,500 (0 - 39,400)"
deaths,F,total,"7,170 (0 - 17,800)","8,510 (0 - 17,200)","8,510 (1,680 - 15,300)","6,790 (1,570 - 12,000)","6,000 (988 - 11,000)","7,880 (2,470 - 13,300)","44,900 (3,010 - 86,700)"
deaths,M,HIV-negative,"7,980 (0 - 17,700)","8,770 (0 - 18,000)","10,500 (0 - 21,400)","11,000 (832 - 21,200)","7,690 (0 - 16,500)","10,400 (2,630 - 18,200)","56,400 (0 - 113,000)"
deaths,M,HIV-positive,"3,870 (0 - 10,300)","5,620 (0 - 12,800)","4,980 (0 - 11,700)","3,620 (0 - 12,000)","3,180 (0 - 13,900)","2,160 (0 - 12,600)","23,400 (0 - 73,300)"
deaths,M,total,"11,800 (219 - 23,500)","14,400 (2,700 - 26,100)","15,500 (2,730 - 28,300)","14,600 (1,450 - 27,800)","10,900 (0 - 24,700)","12,600 (0 - 25,600)","79,800 (3,690 - 156,000)"
deaths,total,HIV-negative,"12,700 (0 - 32,000)","13,500 (0 - 29,800)","15,800 (0 - 32,400)","15,700 (1,180 - 30,300)","11,600 (0 - 24,000)","16,400 (5,140 - 27,600)","85,700 (0 - 176,000)"
deaths,total,HIV-positive,"6,340 (0 - 17,400)","9,400 (0 - 21,600)","8,230 (0 - 18,700)","5,690 (0 - 16,900)","5,260 (0 - 19,400)","4,070 (0 - 18,700)","39,000 (0 - 113,000)"
deaths,total,total,"19,000 (0 - 41,300)","22,900 (2,490 - 43,300)","24,000 (4,410 - 43,700)","21,400 (3,030 - 39,800)","16,900 (0 - 35,700)","20,400 (2,020 - 38,900)","125,000 (6,700 - 243,000)"
