g_whoregion,AFR,AMR,EMR,EUR,SEA,WPR,Global
TBM.hn.treated,"12,000 (11,500 - 12,500)","3,190 (3,010 - 3,370)","7,110 (6,490 - 7,740)","3,030 (2,870 - 3,200)","45,000 (41,100 - 49,000)","21,200 (19,300 - 23,000)","91,600 (87,100 - 96,000)"
TBM.hp.treated,"16,800 (11,900 - 21,700)","1,180 (0 - 2,570)","209 (0 - 4,550)","1,380 (0 - 2,790)","5,020 (0 - 33,300)","1,470 (0 - 14,600)","26,000 (0 - 58,000)"
TBM.treated,"28,800 (23,900 - 33,700)","4,370 (2,970 - 5,760)","7,320 (2,930 - 11,700)","4,420 (3,000 - 5,830)","50,100 (21,500 - 78,700)","22,600 (9,420 - 35,900)","118,000 (85,400 - 150,000)"
TBM.hn.untreated,"9,940 (7,240 - 12,600)",666 (375 - 958),"4,080 (1,470 - 6,680)",436 (68 - 804),"14,300 (1,780 - 26,900)","5,310 (1,130 - 9,500)","34,800 (21,000 - 48,500)"
TBM.hp.untreated,"9,370 (5,720 - 13,000)",241 (126 - 355),112 (48 - 175),149 (0 - 453),"1,470 (0 - 3,020)",410 (141 - 680),"11,800 (7,760 - 15,700)"
TBM.untreated,"19,300 (14,800 - 23,900)","907 (594 - 1,220)","4,190 (1,580 - 6,800)","585 (107 - 1,060)","15,800 (3,150 - 28,500)","5,720 (1,530 - 9,910)","46,500 (32,200 - 60,900)"
TBM.hn.total,"22,000 (19,200 - 24,700)","3,850 (3,510 - 4,200)","11,200 (8,510 - 13,900)","3,470 (3,060 - 3,870)","59,400 (46,200 - 72,600)","26,500 (21,900 - 31,000)","126,000 (112,000 - 141,000)"
TBM.hp.total,"26,200 (20,100 - 32,300)","1,420 (28 - 2,810)","321 (0 - 4,660)","1,530 (95 - 2,970)","6,490 (0 - 34,800)","1,880 (0 - 15,000)","37,800 (5,610 - 70,000)"
TBM.total,"48,100 (41,400 - 54,800)","5,270 (3,840 - 6,710)","11,500 (6,410 - 16,600)","5,000 (3,510 - 6,500)","65,900 (34,600 - 97,100)","28,400 (14,500 - 42,200)","164,000 (129,000 - 199,000)"
TBMdeaths.hn.treated,"1,880 (1,800 - 1,960)",543 (512 - 575),"1,190 (1,080 - 1,300)",545 (516 - 575),"7,680 (6,970 - 8,380)","4,350 (3,880 - 4,810)","16,200 (15,300 - 17,000)"
TBMdeaths.hp.treated,"9,700 (6,890 - 12,500)","720 (0 - 1,590)","127 (0 - 2,920)","846 (0 - 1,700)","3,090 (0 - 21,300)","997 (0 - 11,800)","15,500 (0 - 37,100)"
TBMdeaths.treated,"11,600 (8,770 - 14,400)","1,260 (391 - 2,140)","1,320 (0 - 4,110)","1,390 (533 - 2,250)","10,800 (0 - 29,000)","5,340 (0 - 16,100)","31,700 (10,100 - 53,300)"
TBMdeaths.hn.untreated,"9,940 (7,240 - 12,600)",666 (375 - 958),"4,080 (1,470 - 6,680)",436 (68 - 804),"14,300 (1,780 - 26,900)","5,310 (1,130 - 9,500)","34,800 (21,000 - 48,500)"
TBMdeaths.hp.untreated,"9,370 (5,720 - 13,000)",241 (126 - 355),112 (48 - 175),149 (0 - 453),"1,470 (0 - 3,020)",410 (141 - 680),"11,800 (7,760 - 15,700)"
TBMdeaths.untreated,"19,300 (14,800 - 23,900)","907 (594 - 1,220)","4,190 (1,580 - 6,800)","585 (107 - 1,060)","15,800 (3,150 - 28,500)","5,720 (1,530 - 9,910)","46,500 (32,200 - 60,900)"
TBMdeaths.hn.total,"11,800 (9,110 - 14,500)","1,210 (917 - 1,500)","5,270 (2,660 - 7,880)","982 (612 - 1,350)","22,000 (9,430 - 34,600)","9,660 (5,450 - 13,900)","51,000 (37,200 - 64,700)"
TBMdeaths.hp.total,"19,100 (14,500 - 23,700)","961 (81 - 1,840)","239 (0 - 3,030)","994 (84 - 1,900)","4,560 (0 - 22,900)","1,410 (0 - 12,200)","27,200 (5,280 - 49,200)"
TBMdeaths.total,"30,900 (25,600 - 36,200)","2,170 (1,240 - 3,100)","5,510 (1,690 - 9,320)","1,980 (993 - 2,960)","26,600 (4,350 - 48,800)","11,100 (0 - 22,600)","78,200 (52,300 - 104,000)"
