year,age,Male,Female
2015,15-24,53,22
2015,25-34,384,110
2015,35-44,340,66
2015,45-54,77,21
2015,55-64,19,3
2015,>=65,5,0
2016,15-24,40,5
2016,25-34,194,55
2016,35-44,214,32
2016,45-54,32,9
2016,55-64,18,3
2016,>=65,3,0
2017,15-24,44,9
2017,25-34,278,74
2017,35-44,314,72
2017,45-54,83,14
2017,55-64,30,3
2017,>=65,3,0
2018,15-24,89,13
2018,25-34,156,35
2018,35-44,170,43
2018,45-54,144,36
2018,55-64,103,33
2018,>=65,60,10
2019,15-24,60,8
2019,25-34,261,57
2019,35-44,359,85
2019,45-54,148,20
2019,55-64,31,6
2019,>=65,6,3
